Comuna,Codigo_comuna,Barrio,Codigo_barrio,Ninguna,Ciego total,Sordo Total,Mudez,Dificultad para moverse o caminar por sí mismo,"Dificultad para bañarse, vestirse, alimentarse por sí mismo",Dificultad para salir a la calle sin ayuda o compañía,Dificultad para aprender o entender,Sexo
POPULAR,01,SANTO DOMINGO SAVIO No. 1,0101,916,1,1,0,3,2,2,5,Hombre
POPULAR,01,SANTO DOMINGO SAVIO No. 1,0101,1053,0,2,1,3,1,2,6,Mujer
POPULAR,01,SANTO DOMINGO SAVIO No. 2,0102,386,0,2,0,2,0,0,5,Hombre
POPULAR,01,SANTO DOMINGO SAVIO No. 2,0102,383,0,0,0,4,0,0,1,Mujer
POPULAR,01,POPULAR,0103,879,0,1,2,5,1,1,14,Hombre
POPULAR,01,POPULAR,0103,952,1,0,0,0,1,4,6,Mujer
POPULAR,01,GRANIZAL,0104,393,1,1,0,2,0,0,5,Hombre
POPULAR,01,GRANIZAL,0104,446,0,1,0,0,0,1,5,Mujer
POPULAR,01,MOSCU No. 2,0105,529,1,3,0,3,0,0,4,Hombre
POPULAR,01,MOSCU No. 2,0105,540,0,2,0,0,2,1,0,Mujer
POPULAR,01,VILLA GUADALUPE,0106,346,1,0,0,2,0,1,1,Hombre
POPULAR,01,VILLA GUADALUPE,0106,397,0,0,0,1,0,1,2,Mujer
POPULAR,01,SAN PABLO,0107,655,2,1,0,2,0,4,9,Hombre
POPULAR,01,SAN PABLO,0107,778,0,1,0,2,0,3,7,Mujer
POPULAR,01,EL COMPROMISO,0108,151,0,0,0,0,0,0,1,Hombre
POPULAR,01,EL COMPROMISO,0108,165,0,0,0,0,1,0,0,Mujer
POPULAR,01,ALDEA PABLO VI,0109,105,0,1,0,0,0,0,0,Hombre
POPULAR,01,ALDEA PABLO VI,0109,141,0,0,0,1,0,0,1,Mujer
POPULAR,01,LA ESPERANZA No. 2,0110,116,0,0,0,1,0,0,1,Hombre
POPULAR,01,LA ESPERANZA No. 2,0110,115,0,0,0,0,0,1,0,Mujer
POPULAR,01,LA AVANZADA,0111,267,0,0,0,2,0,1,2,Hombre
POPULAR,01,LA AVANZADA,0111,275,0,0,0,1,0,0,1,Mujer
